State,Region,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2,2019:Q3,2019:Q4,2020:Q1,2020:Q2,Disp_Inc_2015,Disp_Inc_2016,Disp_Inc_2017,Disp_Inc_2018,Disp_Inc_2019,Disp_Inc_2020,mean disp income,St Dev disposable income,% annual change (16/17),% annual change (17/18),% annual change (18/19),% annual change (19/20),% annual change,Gas_Price_2016,Gas_Price_2017,Gas_Price_2018,Gas_Price_2019,Gas_Price_2020,mean gas price,St Dev disposable income,% annual change (16/17),% annual change (17/18),% annual change (18/19),% annual change (19/20)
Alabama,GulfCoast,38571,38806,39088,39071,39257,39443,39561,39858,40512,40840,41104,41627,42213,42532,42831,43229,43760,44009,44284,44501,45168,48641,38884,39530,41021,42701,44139,44559,42390,2116,3.77%,4.10%,3.37%,0.95%,12.72%,2.02,2.3,2.53,2.35,1.92,2.22,0.25,13.86%,10.00%,-7.11%,-18.30%
Alaska,WestCoast,57544,57704,57647,57514,56357,56223,56254,56571,56694,57006,57659,58303,59301,59849,60863,61353,62174,62653,62972,63398,63873,67507,57602,56351,57416,60342,62799,62406,59863,2900,1.89%,5.10%,4.07%,-0.63%,10.75%,2.02,2.3,2.53,2.35,1.92,2.22,0.25,13.86%,10.00%,-7.11%,-18.30%
Arizona,WestCoast,39330,39667,39726,40077,40257,40695,41043,41195,41918,42263,42867,43239,44043,44353,44837,45097,45623,45901,46166,46509,46940,50403,39700,40798,42572,44583,46050,46238,44048,2336,4.35%,4.72%,3.29%,0.41%,13.33%,2.4,2.7,3.11,3.09,2.63,2.79,0.31,12.50%,15.19%,-0.64%,-14.89%
Arkansas,GulfCoast,38980,39320,39769,39951,40041,40321,40423,40733,41289,41507,41648,42175,42646,43097,43539,43996,44207,44494,44787,45007,45516,48691,39505,40380,41655,43320,44624,44748,42945,1901,3.16%,4.00%,3.01%,0.28%,10.82%,2.02,2.3,2.53,2.35,1.92,2.22,0.25,13.86%,10.00%,-7.11%,-18.30%
California,WestCoast,54806,55655,56202,56675,57321,57686,58306,58876,59474,60114,60826,61805,62471,63396,64207,64810,65761,66430,66639,67603,68338,72764,55835,58047,60555,63721,66608,67023,63191,3875,4.32%,5.23%,4.53%,0.62%,15.46%,2.02,2.3,2.53,2.35,1.92,2.22,0.25,13.86%,10.00%,-7.11%,-18.30%
Colorado,RockyMontain,52153,52345,52277,52272,51869,52123,52665,53283,54327,55106,55949,56960,57787,58540,59352,59932,60759,60879,61431,61528,62254,65816,52262,52485,55586,58903,61149,60833,57791,3701,5.91%,5.97%,3.81%,-0.52%,15.91%,2.78,3.08,3.55,3.68,3.13,3.24,0.37,10.79%,15.26%,3.66%,-14.95%
Connecticut,EastCoast,67617,68096,68565,69167,69719,69910,69923,70039,70667,71538,71995,72685,73802,74357,75625,75642,77126,77111,77132,77709,78213,81606,68361,69898,71721,74857,77270,75914,73932,3045,2.61%,4.37%,3.22%,-1.75%,8.61%,2.14,2.43,2.75,2.66,2.34,2.46,0.25,13.55%,13.17%,-3.27%,-12.03%
Delaware,EastCoast,47472,48131,48063,48393,48108,48649,49056,49485,50155,50351,51136,51484,52259,52713,53315,53403,54233,54377,54527,54757,55300,58989,48015,48825,50782,52923,54474,54287,52258,2420,4.01%,4.22%,2.93%,-0.34%,11.19%,2.26,2.53,2.83,2.65,2.23,2.5,0.26,11.95%,11.86%,-6.36%,-15.85%
Washington DC,EastCoast,74967,75511,75711,75737,77209,77758,77916,78464,78462,78801,79594,80122,80337,80876,81891,81973,82905,83196,83476,83983,85082,88033,75482,77837,79245,81269,83390,82230,80794,2246,1.81%,2.55%,2.61%,-1.39%,5.64%,2.31,2.64,2.89,2.73,2.35,2.58,0.25,14.29%,9.47%,-5.54%,-13.92%
Florida,EastCoast,44856,45176,45381,45588,45508,45836,46289,46669,47549,48252,48782,49459,50331,50682,51315,51539,52133,52311,52433,52731,53305,56412,45250,46076,48511,50967,52402,52116,50014,2683,5.28%,5.06%,2.82%,-0.55%,13.11%,2.31,2.64,2.89,2.73,2.35,2.58,0.25,14.29%,9.47%,-5.54%,-13.92%
Georgia,EastCoast,41323,41670,42009,42162,42637,42650,42921,43381,44256,44597,44979,45730,46308,46708,47362,47412,47938,48141,48318,48530,49132,52184,41791,42897,44891,46948,48232,48125,46219,2292,4.65%,4.58%,2.73%,-0.22%,12.19%,2.22,2.49,2.7,2.51,2.15,2.41,0.23,12.16%,8.43%,-7.04%,-14.34%
Hawaii,WestCoast,48785,49297,49695,50181,50641,51007,51331,51822,52811,53203,53659,54033,54545,55022,55390,55883,56480,56746,57132,57678,57931,65961,49490,51200,53427,55210,57009,58849,55139,2988,4.35%,3.34%,3.26%,3.23%,14.94%,2.21,2.46,2.67,2.49,2.09,2.38,0.23,11.31%,8.54%,-6.74%,-16.06%
Idaho,RockyMontain,39580,39599,39952,39839,40140,40490,40752,40809,41392,42097,42478,43100,44028,44396,44620,45093,45482,45823,46130,46406,46905,50169,39743,40548,42267,44534,45960,46110,43884,2420,4.24%,5.36%,3.20%,0.33%,13.72%,2.4,2.7,3.11,3.09,2.63,2.79,0.31,12.50%,15.19%,-0.64%,-14.89%
Illinois,Midwest,51145,51562,52065,52236,52113,52201,52369,52964,53329,53935,54568,55174,56303,56909,57421,57911,58363,58425,58955,59285,59896,66224,51752,52412,54252,57136,58757,59907,56493,3117,3.51%,5.32%,2.84%,1.96%,14.30%,2.21,2.5,2.87,2.74,2.35,2.53,0.27,13.12%,14.80%,-4.53%,-14.23%
Indiana,Midwest,42121,42570,42767,43084,43142,43500,43835,44194,44575,45008,45391,45930,46834,47058,47460,47912,48343,48450,48813,49090,49415,52560,42636,43668,45226,47316,48674,48438,46664,2160,3.57%,4.62%,2.87%,-0.48%,10.92%,2.14,2.41,2.67,2.54,2.09,2.37,0.25,12.62%,10.79%,-4.87%,-17.72%
Iowa,Midwest,45908,46050,46539,46677,46350,46406,46729,46679,47369,47561,47534,48180,49230,49875,50240,51332,51494,51347,52289,52310,52978,58612,46294,46541,47661,50169,51860,53005,49847,2731,2.41%,5.26%,3.37%,2.21%,13.89%,2.14,2.41,2.67,2.54,2.09,2.37,0.25,12.62%,10.79%,-4.87%,-17.72%
Kansas,Midwest,47281,47371,47436,47312,46859,47255,47604,47848,48322,48623,48922,49595,50381,51032,51530,52080,52916,53005,53683,54077,54485,57636,47350,47392,48866,51256,53420,53257,50838,2667,3.11%,4.89%,4.22%,-0.31%,12.38%,2.14,2.41,2.67,2.54,2.09,2.37,0.25,12.62%,10.79%,-4.87%,-17.72%
Kentucky,Midwest,38688,39111,39340,39636,39327,39577,40000,40084,40469,40684,41002,41464,41752,42230,42512,42851,43375,43566,43897,44230,44644,48585,39194,39747,40905,42336,43767,44284,42208,1905,2.91%,3.50%,3.38%,1.18%,11.41%,2.14,2.41,2.67,2.54,2.09,2.37,0.25,12.62%,10.79%,-4.87%,-17.72%
Louisiana,GulfCoast,42790,42765,42954,43095,42051,42335,42536,43263,43339,43629,44080,44671,45305,46126,46395,46980,47084,47344,47414,47975,47949,51789,42901,42546,43930,46202,47454,47376,45502,2181,3.25%,5.17%,2.71%,-0.16%,11.35%,2.14,2.41,2.67,2.54,2.09,2.37,0.25,12.62%,10.79%,-4.87%,-17.72%
Maine,EastCoast,42765,43430,43865,44317,44379,44803,44867,45248,45866,46196,46835,47311,48123,48670,49134,49199,50194,50417,50748,51152,51679,56268,43594,44824,46552,48782,50628,51275,48412,2719,3.86%,4.79%,3.78%,1.28%,14.39%,2.02,2.3,2.53,2.35,1.92,2.22,0.25,13.86%,10.00%,-7.11%,-18.30%
Maryland,EastCoast,56500,56839,57212,57603,58197,58756,59221,59815,59897,60400,60942,61794,61865,62477,63129,63334,64138,64501,64679,65206,65969,69341,57039,58997,60758,62701,64631,64272,62272,2386,2.98%,3.20%,3.08%,-0.56%,8.94%,2.26,2.53,2.83,2.65,2.23,2.5,0.26,11.95%,11.86%,-6.36%,-15.85%
Massachusetts,EastCoast,62643,63433,63834,64539,64713,65400,66265,66453,67203,68003,68936,69655,70906,71500,72194,72638,73978,74089,74164,74456,75332,86779,63612,65708,68449,71810,74172,77003,71428,4482,4.17%,4.91%,3.29%,3.82%,17.19%,2.31,2.64,2.89,2.73,2.35,2.58,0.25,14.29%,9.47%,-5.54%,-13.92%
Michigan,Midwest,42844,43281,43669,44052,44229,44500,44674,45111,45507,45711,45987,46586,47288,47542,48002,48271,48758,49062,49340,49724,49795,55484,43462,44629,45948,47776,49221,50008,47516,2235,2.96%,3.98%,3.02%,1.60%,12.05%,2.22,2.51,2.82,2.67,2.23,2.49,0.27,13.06%,12.35%,-5.32%,-16.48%
Minnesota,RockyMontain,52007,52108,52474,52757,52588,52716,53335,53648,54629,54713,54821,55663,56464,57169,57632,58225,58440,58524,59039,59310,59740,64364,52337,53072,54957,57373,58828,58949,56636,2560,3.55%,4.40%,2.54%,0.21%,11.07%,2.14,2.41,2.67,2.54,2.09,2.37,0.25,12.62%,10.79%,-4.87%,-17.72%
Mississippi,GulfCoast,34885,35178,35358,35373,35548,35575,35636,35901,36307,36313,36616,36937,37291,37745,37961,38374,38557,38647,39091,39335,39822,43352,35199,35665,36543,37843,38908,39508,37693,1599,2.46%,3.56%,2.81%,1.54%,10.78%,2.09,2.39,2.65,2.5,2.05,2.34,0.26,14.35%,10.88%,-5.66%,-18.00%
Missouri,Midwest,42718,42985,43346,43539,44033,44165,44349,44686,44864,45141,45416,45935,46324,47106,47274,47705,48285,48387,48830,49099,49564,53036,43147,44308,45339,47102,48650,48735,46827,1975,2.33%,3.89%,3.29%,0.17%,9.99%,2.14,2.41,2.67,2.54,2.09,2.37,0.25,12.62%,10.79%,-4.87%,-17.72%
Montana,Midwest,43515,43627,43825,43475,43519,43691,44052,44776,45516,46182,46360,46780,47591,48083,48270,48804,49172,49377,50003,50407,50589,56030,43611,44010,46210,48187,49740,50644,47758,2687,5.00%,4.28%,3.22%,1.82%,15.07%,2.14,2.41,2.67,2.54,2.09,2.37,0.25,12.62%,10.79%,-4.87%,-17.72%
Nebraska,Midwest,50399,50738,51040,50664,49732,49562,49524,49670,49758,50442,50735,51621,52069,52494,52834,54147,53935,53936,54919,55247,55810,58806,50710,49622,50639,52886,54509,54443,52420,2218,2.05%,4.44%,3.07%,-0.12%,9.72%,2.21,2.5,2.87,2.74,2.35,2.53,0.27,13.12%,14.80%,-4.53%,-14.23%
Nevada,WestCoast,43702,44294,44407,44805,44595,44957,46150,45648,46879,47423,48061,48152,49485,49678,50166,50671,50840,51042,51193,51533,52031,57987,44302,45338,47629,50000,51152,52259,49276,2791,5.05%,4.98%,2.30%,2.16%,15.27%,2.65,2.95,3.38,3.43,2.92,3.07,0.33,11.32%,14.58%,1.48%,-14.87%
New Hampshire,EastCoast,53375,54345,54588,55733,55687,56396,56948,56982,57790,58224,59372,59655,60834,61165,61872,61948,63490,63375,63466,63650,64685,67815,54510,56503,58760,61455,63495,62938,60630,2947,3.99%,4.59%,3.32%,-0.88%,11.39%,2.4,2.7,3.11,3.09,2.63,2.79,0.31,12.50%,15.19%,-0.64%,-14.89%
New Jersey,EastCoast,60544,60956,61475,61596,62392,62517,62961,63414,63802,64617,65359,66161,66755,67486,68339,68775,69809,70273,70663,71089,72056,81429,61143,62821,64985,67839,70459,72905,67802,4057,3.44%,4.39%,3.86%,3.47%,16.05%,2.26,2.53,2.83,2.65,2.23,2.5,0.26,11.95%,11.86%,-6.36%,-15.85%
New Mexico,GulfCoast,38009,38299,38342,38572,38682,39070,39130,39206,39394,39536,39824,40192,40997,41423,41935,42263,42816,43125,43533,43798,44303,48194,38306,39022,39737,41655,43318,43936,41534,2151,1.83%,4.83%,3.99%,1.43%,12.59%,2.31,2.64,2.89,2.73,2.35,2.58,0.25,14.29%,9.47%,-5.54%,-13.92%
New York,EastCoast,58254,59166,59813,59736,60847,61021,61380,62351,64320,65193,66055,67671,67650,68391,69167,69415,70753,71588,71961,72516,73225,77014,59242,61400,65810,68656,71705,71364,67787,4290,7.18%,4.32%,4.44%,-0.48%,16.23%,2.02,2.3,2.53,2.35,1.92,2.22,0.25,13.86%,10.00%,-7.11%,-18.30%
North Carolina,EastCoast,41406,41681,42025,42166,42508,42591,42859,43300,43845,44205,44528,45024,45525,46065,46380,46878,47376,47664,47841,48153,48771,51080,41820,42815,44401,46212,47759,47429,45723,2092,3.70%,4.08%,3.35%,-0.69%,10.78%,2.36,2.62,2.9,2.73,2.32,2.59,0.25,11.02%,10.69%,-5.86%,-15.02%
North Dakota,Midwest,55253,53801,53309,53252,51582,51576,52110,52037,52343,52884,52563,53042,54461,55251,55949,57435,56999,56470,57708,57690,58149,63670,53904,51826,52708,55774,57217,57864,55078,2693,1.70%,5.82%,2.59%,1.13%,11.65%,2.21,2.46,2.67,2.49,2.09,2.38,0.23,11.31%,8.54%,-6.74%,-16.06%
Ohio,Midwest,43871,44268,44556,44892,44842,45073,45251,45694,46248,46558,47007,47490,47993,48468,49076,49432,49835,49994,50296,50651,51091,55340,44397,45215,46826,48742,50194,50555,48306,2267,3.56%,4.09%,2.98%,0.72%,11.81%,2.14,2.41,2.67,2.54,2.09,2.37,0.25,12.62%,10.79%,-4.87%,-17.72%
Oklahoma,Midwest,44765,44192,44191,43679,41997,41811,41806,41974,42868,43637,44065,44558,45149,45563,46059,46532,47296,47170,47406,47471,47693,52469,44207,41897,43782,45826,47336,47577,45284,2423,4.50%,4.67%,3.30%,0.51%,13.56%,2.19,2.38,2.62,2.54,2.08,2.36,0.23,8.68%,10.08%,-3.05%,-18.11%
Oregon,WestCoast,44543,44891,45513,45550,46332,46434,46590,47070,47811,48583,48976,49729,50648,51209,51942,52181,52736,52953,53206,53842,54348,59512,45124,46607,48775,51495,53184,54084,50829,3108,4.65%,5.58%,3.28%,1.69%,16.04%,2.14,2.41,2.67,2.54,2.09,2.37,0.25,12.62%,10.79%,-4.87%,-17.72%
Pennsylvania,EastCoast,49843,50147,50607,50998,51221,51523,52130,52350,52469,52862,53612,54229,55037,55606,56526,56951,57564,57887,58093,58539,59028,64816,50399,51806,53293,56030,58021,58826,55595,3007,2.87%,5.14%,3.55%,1.39%,13.55%,2.4,2.7,3.11,3.09,2.63,2.79,0.31,12.50%,15.19%,-0.64%,-14.89%
Rhode Island,EastCoast,49378,49862,50073,50405,50061,50445,51031,51099,51375,52170,53375,53533,53911,54223,54485,55120,56087,56329,56236,56749,57477,64878,49930,50659,52613,54435,56350,58119,54435,2950,3.86%,3.46%,3.52%,3.14%,14.73%,2.31,2.64,2.89,2.73,2.35,2.58,0.25,14.29%,9.47%,-5.54%,-13.92%
South Carolina,EastCoast,38860,39238,39696,39965,40107,40373,40682,41093,41725,42079,42347,42727,43300,43685,44156,44468,45185,45242,45497,45789,45923,49036,39440,40564,42220,43902,45428,45106,43444,2043,4.08%,3.98%,3.48%,-0.71%,11.20%,2.26,2.53,2.83,2.65,2.23,2.5,0.26,11.95%,11.86%,-6.36%,-15.85%
South Dakota,Midwest,48025,48327,48848,49365,48405,48545,49006,48888,49575,49789,49789,50081,51737,52037,52417,54307,53459,53262,54424,54673,55111,58778,48641,48711,49809,52625,53955,54097,51839,2455,2.25%,5.65%,2.53%,0.26%,11.06%,2.21,2.46,2.67,2.49,2.09,2.38,0.23,11.31%,8.54%,-6.74%,-16.06%
Tennessee,Midwest,41995,42484,42856,43126,43212,43313,43743,44181,44695,45003,45281,45923,46477,46932,47572,47851,48331,48625,48761,48987,49490,51232,42615,43612,45226,47208,48676,47843,46513,2062,3.70%,4.38%,3.11%,-1.71%,9.70%,2.14,2.41,2.67,2.54,2.09,2.37,0.25,12.62%,10.79%,-4.87%,-17.72%
Texas,GulfCoast,47027,46580,46515,46117,45523,45504,45840,46362,47387,48066,48696,49428,50331,50885,51429,51837,52449,52621,52957,53188,53347,57231,46560,45807,48394,51121,52804,52525,50130,2982,5.65%,5.63%,3.29%,-0.53%,14.67%,2.14,2.41,2.67,2.54,2.09,2.37,0.25,12.62%,10.79%,-4.87%,-17.72%
Utah,RockyMontain,40257,40738,41093,41380,41866,42134,42488,42995,43271,43809,44498,45149,46246,46835,47313,47613,48607,48642,49024,49466,49860,53218,40867,42371,44182,47002,48935,48962,46290,2934,4.27%,6.38%,4.11%,0.06%,15.56%,2.02,2.29,2.53,2.36,1.9,2.22,0.26,13.37%,10.48%,-6.72%,-19.49%
Vermont,EastCoast,48852,49261,49615,49892,50165,50264,50578,50562,51131,51403,51926,52332,52785,53376,53792,54165,55136,55067,55356,55595,56286,63022,49405,50392,51698,53530,55289,56671,53516,2557,2.59%,3.54%,3.29%,2.50%,12.46%,2.21,2.5,2.87,2.74,2.35,2.53,0.27,13.12%,14.80%,-4.53%,-14.23%
Virginia,EastCoast,52014,52655,53061,53213,53255,53539,53886,54441,54911,55341,55817,56471,57182,57689,58252,58712,59137,59449,59761,60248,60959,63674,52736,53780,55635,57959,59649,59201,57245,2486,3.45%,4.18%,2.92%,-0.75%,10.08%,2.26,2.53,2.83,2.65,2.23,2.5,0.26,11.95%,11.86%,-6.36%,-15.85%
Washington,EastCoast,53244,53724,54157,54234,55137,55456,55861,56721,57371,57977,58752,59708,61227,61762,62807,63042,64143,64551,64909,65406,66015,70958,53840,55794,58452,62210,64752,65062,61254,4041,4.76%,6.43%,4.09%,0.48%,16.61%,2.21,2.46,2.67,2.49,2.09,2.38,0.23,11.31%,8.54%,-6.74%,-16.06%
West Virginia,EastCoast,36936,37173,37122,37031,36939,37032,37073,37361,38433,38601,39095,39544,40236,40827,41660,42021,42248,42320,42362,42310,42863,49021,37066,37101,38918,41186,42310,43645,40632,2627,4.90%,5.83%,2.73%,3.16%,17.64%,2.4,2.7,3.11,3.09,2.63,2.79,0.31,12.50%,15.19%,-0.64%,-14.89%
Wisconsin,Midwest,46294,46727,47075,47307,47274,47393,47809,47866,48488,48891,49649,50003,51015,51265,51909,52310,52854,53156,53227,53643,53837,57492,46851,47586,49258,51625,53220,52881,50914,2424,3.51%,4.81%,3.09%,-0.64%,11.13%,2.21,2.46,2.67,2.49,2.09,2.38,0.23,11.31%,8.54%,-6.74%,-16.06%
Wyoming,RockyMontain,57661,56968,56856,55984,54669,53999,53901,54255,55117,56263,56815,57684,59598,60347,61097,61556,61989,61912,62365,62467,62558,66539,56867,54206,56470,60650,62183,61321,58966,3450,4.18%,7.40%,2.53%,-1.39%,13.13%,2.14,2.41,2.67,2.54,2.09,2.37,0.25,12.62%,10.79%,-4.87%,-17.72%
New England,EastCoast,59683,60365,60755,61407,61608,62106,62620,62777,63449,64168,64981,65577,66653,67188,67956,68238,69555,69625,69706,70079,70827,78469,60553,62278,64544,67509,69741,70916,66998,3586,3.64%,4.59%,3.31%,1.68%,13.87%,2.21,2.5,2.87,2.74,2.35,2.53,0.27,13.12%,14.80%,-4.53%,-14.23%
Mideast,Midwest,56278,56861,57383,57532,58269,58527,58978,59596,60509,61180,61948,63018,63355,64022,64832,65148,66157,66708,67008,67498,68203,73464,57014,58843,61664,64339,66843,67292,63796,3566,4.79%,4.34%,3.89%,0.67%,14.36%,2.255,2.532,2.826,2.647,2.229,,,,,,
Great Lakes,Midwest,45705,46127,46488,46772,46765,46967,47192,47613,48064,48459,48947,49478,50311,50708,51231,51621,52074,52246,52582,52930,53288,58167,46273,47134,48737,50968,52458,52941,50448,2472,3.40%,4.58%,2.92%,0.92%,12.32%,2.143,2.405,2.667,2.541,2.085,,,,,,
Plains,RockyMontain,47584,47714,48027,48146,47953,48079,48425,48637,49160,49422,49584,50251,50996,51669,52034,52799,53092,53108,53783,54029,54516,58606,47868,48274,49604,51875,53503,53733,51398,2403,2.76%,4.58%,3.14%,0.43%,11.31%,2.143,2.405,2.667,2.541,2.085,,,,,,
Southeast,EastCoast,42558,42906,43203,43374,43420,43622,43940,44354,45000,45414,45807,46402,47037,47489,47996,48321,48808,49028,49226,49530,50055,53094,43010,43834,45656,47711,49148,48996,47069,2286,4.16%,4.50%,3.01%,-0.31%,11.78%,2.206,2.455,2.671,2.488,2.093,,,,,,
Southwest,GulfCoast,45032,44746,44716,44467,43938,44002,44295,44699,45619,46225,46815,47445,48298,48791,49320,49706,50315,50485,50804,51042,51271,55167,44740,44234,46526,49029,50662,50558,48202,2777,5.18%,5.38%,3.33%,-0.21%,14.30%,2.212,2.498,2.867,2.736,2.348,,,,,,
Rocky Mountain,RockyMontain,46859,47051,47170,47147,47061,47276,47679,48180,48920,49629,50290,51091,52050,52679,53260,53737,54481,54604,55074,55308,55834,59475,47057,47549,49983,52932,54867,54772,52021,3188,5.12%,5.90%,3.66%,-0.17%,15.19%,2.212,2.498,2.867,2.736,2.348,,,,,,
Far West,WestCoast,53162,53893,54394,54768,55381,55710,56279,56815,57465,58092,58774,59663,60493,61280,62088,62601,63487,64045,64277,65098,65766,70477,54054,56046,58499,61616,64227,64715,61021,3721,4.38%,5.33%,4.24%,0.76%,15.47%,2.646,2.948,3.378,3.427,2.915,,,,,,
USA all states,,,,,,,,,,,,,,,,,,,,,,,,48413,49156,50962,53342,55086,55397,52789,2689,3.67%,4.67%,3.27%,0.56%,,2.22,2.5,2.78,2.65,2.23,2.48,0.25,12.63%,11.43%,-4.70%,-16.13%